Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
4,425,232,424,231,425,231,425,232,425,232,425,232,424,231,424,231,425,231,425,231,424,231,424,231,425,231,425,231,425,230,425,230,424,230,424,229,423,229,423,229,424,230,424,230,424,229,424,230,424,230,425,231,424,230,424,231,424,231,424,231,424,230,423,230,423,230,423,229,423,229,423,229,422,229,423,230,423,230,423,230,423,230,422,229,423,230,422,230,423,230,423,230,423,230,423,230,423,230,422,229,423,229,423,229,423,230,423,229,423,229,423,229,423,229,423,229,423,229,423,230,423,229,423,230,423,229,423,230,423,229,423,230,423,229,423,230
61,368,306,370,309,369,308,369,307,368,307,368,307,368,307,368,307,368,307,368,307,369,307,369,307,368,306,368,306,369,306,370,306,369,305,370,306,371,306,371,306,370,308,370,308,369,307,368,308,369,307,368,308,368,307,368,307,368,307,368,307,368,306,368,307,368,306,367,306,367,306,366,306,366,305,366,305,367,304,367,304,367,304,366,304,366,302,365,302,366,302,364,301,366,301,365,301,365,301,365,301,366,301,365,301,365,301,365,301,365,300,365,300,365,301,365,301,365,301,365,301,365,301,365,301,365,301,365,301,364,301,365,301,365,301,365,301
146,373,316,374,318,374,318,374,318,373,317,373,318,373,317,373,317,373,317,373,318,373,317,373,317,373,316,373,316,374,316,375,316,374,316,375,316,375,316,375,316,374,318,374,318,374,318,373,318,373,318,373,318,373,317,373,317,373,318,373,318,373,316,372,317,373,315,372,316,372,314,371,316,371,314,371,313,371,312,372,312,372,311,371,311,371,309,370,309,371,309,370,308,371,308,370,308,371,308,370,308,371,308,370,308,371,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308,370,308
91,380,325,381,326,381,327,381,328,380,328,380,328,380,328,380,328,380,328,380,328,380,327,380,327,380,326,380,326,381,326,381,326,381,326,381,326,381,326,381,327,381,328,381,328,380,328,380,328,380,328,380,328,380,327,380,328,380,328,380,328,380,326,379,327,380,324,379,326,379,323,378,325,378,322,378,322,379,320,379,319,379,319,378,318,379,316,378,316,379,315,378,315,379,315,378,315,378,315,378,315,379,315,378,315,378,315,378,315,378,315,378,315,378,315,378,315,378,316,378,315,378,315,378,315,378,315,378,314,378,315,378,315,378,315,378,315
181,391,334,392,336,392,338,391,338,391,338,391,338,391,338,391,338,391,338,391,338,391,338,391,337,391,336,391,337,391,336,392,336,391,336,391,336,391,337,391,337,391,338,391,338,391,338,390,339,391,339,391,339,391,338,391,338,390,339,391,338,391,337,390,337,391,333,390,336,390,332,389,335,389,331,389,330,390,328,390,328,390,327,390,326,390,323,389,323,390,323,389,323,390,323,389,323,390,323,389,323,390,322,389,323,390,323,389,323,390,323,390,323,390,323,390,323,390,323,390,322,389,323,390,322,389,323,390,322,389,323,389,322,389,322,390,322
84,406,340,406,341,406,344,406,344,406,344,406,345,406,345,405,345,406,345,406,345,406,344,406,344,406,343,406,343,406,342,407,342,406,343,406,343,405,343,406,344,406,345,406,345,406,345,405,346,406,345,406,346,406,344,406,344,405,346,405,345,406,343,405,344,405,339,405,342,405,338,404,341,404,337,404,336,404,333,404,333,405,332,404,331,405,328,404,328,405,327,404,327,405,328,404,328,404,328,404,328,405,327,404,327,404,327,404,328,404,328,404,328,404,327,404,328,404,328,404,327,404,328,404,327,404,328,404,326,404,328,404,327,404,327,404,327
17,423,342,424,343,424,345,424,346,424,346,424,346,424,347,424,346,424,346,424,346,424,346,424,346,424,344,424,344,424,344,424,344,423,344,423,345,423,345,423,345,424,346,423,346,424,347,423,347,424,347,424,347,424,345,424,346,423,347,424,346,423,344,423,345,423,340,422,344,422,339,422,342,421,338,421,337,421,334,421,334,422,332,421,332,421,329,421,328,421,328,421,328,421,328,421,329,421,328,421,329,421,328,421,328,421,328,421,329,421,329,421,329,421,328,421,329,421,329,421,328,421,329,421,328,421,329,421,328,421,329,421,328,421,328,421,328
314,440,338,440,339,441,342,441,342,440,342,440,343,440,343,440,343,440,343,441,343,441,342,441,342,440,341,441,341,440,340,441,340,440,341,440,341,439,342,439,342,440,343,440,343,441,343,440,343,441,343,441,343,441,342,440,342,440,343,440,343,440,341,439,342,439,337,439,340,438,336,438,339,437,335,437,334,437,332,436,331,437,330,436,330,437,326,436,326,437,326,436,326,437,326,436,326,436,326,436,326,437,325,437,326,437,326,437,326,437,326,436,326,436,326,437,326,437,327,436,325,437,327,436,325,436,326,436,325,436,326,436,326,436,326,437,326
405,452,331,452,332,453,334,453,334,452,334,453,334,453,334,453,334,453,334,453,334,453,334,453,333,453,332,453,333,452,332,453,332,452,333,451,333,451,334,451,334,452,335,452,335,453,335,453,335,453,335,453,335,453,334,453,334,452,335,452,334,452,333,452,334,451,329,451,332,450,329,450,332,449,328,449,327,449,325,448,325,449,323,449,323,449,320,449,320,449,320,449,320,449,320,449,320,449,320,449,320,449,319,449,319,449,320,449,320,449,320,449,320,449,320,449,320,449,321,449,320,449,320,449,319,449,320,449,319,449,320,449,320,449,320,449,320
321,460,320,460,322,461,322,460,323,460,323,460,323,461,323,461,323,460,323,461,323,461,322,461,322,460,321,461,321,460,321,461,321,459,321,459,322,458,322,458,323,460,323,460,323,461,323,460,324,461,323,461,323,461,323,461,323,460,324,460,323,460,322,459,323,459,319,459,321,458,319,459,321,457,318,457,318,457,316,456,316,457,314,457,314,457,312,457,312,458,311,458,311,458,311,458,312,457,311,457,311,458,311,458,311,458,311,458,311,458,311,458,311,458,311,458,311,458,312,458,311,458,312,458,311,458,312,458,311,458,312,458,312,458,312,458,312
