Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
4,378,232,380,233,378,232,378,232,378,232,378,233,378,233,378,233,378,233,378,233,378,233,378,233,379,232,379,232,379,231,379,231,379,233,379,232,378,233,379,233,379,233,379,233,379,233,379,234,378,234,378,233,378,233,378,233,378,233,378,233,378,233,378,233,377,234,377,234,377,233,377,233,376,233,377,233,376,232,377,232,377,232,377,232,377,232,377,231,378,232
61,331,308,332,308,331,309,332,311,332,310,332,311,333,311,333,311,332,312,332,312,332,312,332,312,333,312,332,312,332,311,332,311,331,311,332,311,331,311,331,311,332,311,332,311,332,312,332,311,332,310,331,310,331,310,331,310,331,310,331,311,331,312,331,312,331,312,331,312,331,311,332,310,332,310,331,309,332,308,331,307,331,307,330,307,330,306,330,306,330,306
146,336,315,336,315,335,318,336,319,337,319,337,319,337,320,337,320,337,320,337,320,337,320,336,321,337,320,336,320,336,320,337,319,335,319,336,319,335,321,336,321,337,320,337,320,336,320,336,319,336,319,336,318,336,319,336,319,336,320,336,320,336,320,336,321,336,321,335,321,336,319,336,319,336,317,336,317,336,315,336,315,335,314,335,314,335,314,335,313,335,313
91,343,323,343,321,342,327,343,328,343,328,343,328,344,329,344,328,344,329,343,328,343,328,343,328,344,328,343,328,343,328,343,328,342,328,343,328,342,330,343,330,343,329,343,329,343,328,343,327,343,327,343,327,342,328,342,329,342,329,342,330,342,329,342,330,342,330,342,330,343,327,343,327,343,325,343,325,343,323,343,323,342,322,342,322,341,321,342,321,342,319
181,353,331,354,329,353,337,353,338,354,338,354,338,354,338,354,338,354,338,354,338,354,338,354,338,354,338,354,338,354,338,354,337,353,337,353,338,353,340,353,340,354,338,354,339,353,337,353,336,353,336,353,336,353,338,353,338,353,339,353,340,353,339,353,339,353,339,353,339,353,336,353,336,353,333,353,334,353,331,353,331,352,330,352,330,352,329,352,329,352,327
84,367,336,367,333,367,343,367,344,368,344,368,344,368,344,368,343,368,343,368,343,368,343,368,343,369,343,369,343,369,343,369,342,367,343,368,343,367,346,368,346,368,344,368,345,368,343,368,341,367,341,367,341,367,344,367,344,367,346,367,346,367,345,367,345,367,345,367,345,367,341,367,342,367,338,367,339,367,337,366,336,366,335,366,335,366,334,366,334,366,332
17,384,336,383,334,385,343,385,345,385,344,385,344,385,345,385,344,385,344,385,344,386,344,385,344,386,344,386,344,386,344,386,343,385,344,386,344,385,347,385,347,385,345,385,346,385,344,384,342,384,342,384,342,384,345,384,345,384,347,385,348,384,346,384,346,384,346,384,346,384,342,384,343,383,339,384,340,383,337,383,337,382,335,382,336,382,335,382,334,382,332
314,400,333,399,331,402,340,401,341,402,341,401,341,402,341,402,341,402,341,402,341,402,341,402,340,403,340,403,341,403,341,402,339,401,341,402,341,401,344,402,343,401,341,401,342,401,340,400,339,400,339,400,339,401,342,401,342,401,343,401,344,401,342,401,343,401,342,401,342,400,339,400,339,399,336,400,337,399,334,399,334,398,332,398,332,398,332,398,331,398,329
405,412,326,411,324,414,332,414,333,414,333,414,333,414,333,414,333,414,332,414,333,415,333,414,333,415,332,415,332,415,332,415,331,414,332,414,332,414,335,414,335,413,333,413,334,413,332,413,332,412,331,413,331,413,334,413,334,413,334,414,335,413,334,413,334,413,334,413,334,412,331,413,331,411,328,412,329,411,327,411,327,411,325,411,326,411,325,410,325,411,323
321,421,317,420,316,423,321,422,322,422,322,422,322,422,322,422,322,422,322,422,322,423,322,422,322,423,321,423,321,423,321,423,320,422,322,422,322,421,324,422,324,421,323,421,323,421,322,421,322,421,321,421,321,421,322,421,322,422,323,422,324,421,323,421,323,421,323,421,323,421,321,421,321,420,319,421,319,419,317,420,317,419,316,419,316,420,316,419,315,420,314
